ref	word	root	lemma	b1_huruf	b2_sarfi	b3_nahwi	b4_dalali	b5_all	wazn	bab	same_lemma_nazair	root_occurrences	has_asl
1:1:1	بِسْمِ	سمو	اسم	1	1	1	1	1	فْع		38	381	1
1:1:2	ٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
1:1:3	ٱلرَّحْمَٰنِ	رحم	رحمن	1	1	1	1	1	فَعْلَٰن		56	339	1
1:1:4	ٱلرَّحِيمِ	رحم	رحيم	1	1	1	1	1	فَعِيل		115	339	1
1:2:1	ٱلْحَمْدُ	حمد	حمد	1	1	1	1	1	فَعْل		42	63	1
1:2:2	لِلَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
1:2:3	رَبِّ	ربب	رب	1	1	1	1	1	فَعّ		974	980	0
1:2:4	ٱلْعَٰلَمِينَ	علم	علمين	1	1	1	1	1	فَاعَلِين		72	854	1
1:3:1	ٱلرَّحْمَٰنِ	رحم	رحمن	1	1	1	1	1	فَعْلَٰن		56	339	1
1:3:2	ٱلرَّحِيمِ	رحم	رحيم	1	1	1	1	1	فَعِيل		115	339	1
1:4:1	مَٰلِكِ	ملك	ملك	1	1	1	1	1	فَاعِل		154	206	1
1:4:2	يَوْمِ	يوم	يوم	1	1	1	1	1	فَعْل		404	405	0
1:4:3	ٱلدِّينِ	دين	دين	1	1	1	1	1	فِعل		96	101	1
1:5:2	نَعْبُدُ	عبد	عبد	1	1	1	1	1	نَفْعُل	فَعَلَ	253	275	1
1:5:4	نَسْتَعِينُ	عون	استعين	1	1	1	1	1	نَسْتَفِعل	اِسْتَفْعَلَ	3	11	0
1:6:1	ٱهْدِنَا	هدي	هدى	1	1	1	1	1	افْعِنَا	فَعَلَ	229	316	1
1:6:2	ٱلصِّرَٰطَ	صرط	صرط	1	1	1	1	1	فِعَال		44	45	0
1:6:3	ٱلْمُسْتَقِيمَ	قوم	مستقيم	1	1	1	1	1	مُسْتَفِعل		36	660	1
1:7:1	صِرَٰطَ	صرط	صرط	1	1	1	1	1	فِعَال		44	45	0
1:7:3	أَنْعَمْتَ	نعم	انعم	1	1	1	1	1	أَفْعَلْتَ	أَفْعَلَ	16	140	1
1:7:5	غَيْرِ	غير	غير	1	1	1	1	1	فَعْل		146	154	1
1:7:6	ٱلْمَغْضُوبِ	غضب	مغضوب	1	1	1	1	1	مَفْعُول		0	24	1
1:7:9	ٱلضَّآلِّينَ	ضلل	ضال	1	1	1	1	1	فَاعِّين		13	191	0
2:2:2	ٱلْكِتَٰبُ	كتب	كتب	1	1	1	1	1	فِعَال		308	319	1
2:2:4	رَيْبَ	ريب	ريب	1	1	1	1	1	فَعْل		17	36	1
2:2:6	هُدًى	هدي	هدى	1	1	1	1	1	فُعًل		229	316	1
