ref	root	class	hamza	pos	wazn
100:11:2	ربب	مضاعف	-	N	فَعَّهُمْ
100:1:1	عدو	ناقص	-	N	فَاعِيَات
100:4:1	ثور	أجوف	-	V	أَفَرْنَ
100:6:3	ربب	مضاعف	-	N	فَعِّهِ
100:8:2	حبب	مضاعف	-	N	فُعّ
100:8:4	شدد	مضاعف	-	N	فَعِيل
101:10:2	دري	ناقص	-	V	أَفْعَاكَ
101:11:1	نور	أجوف	-	N	فَار
101:3:2	دري	ناقص	-	V	أَفْعَاكَ
101:4:3	نوس	أجوف	-	N	فَاس
101:4:5	بثث	مضاعف	-	ADJ	مَفْعُول
101:7:4	رضو	ناقص	-	ADJ	فَاعِيَة
101:8:3	خفف	مضاعف	-	V	فَعَّت
101:9:1	امم	مضاعف	0	N	فُعُّهُ
102:1:1	لهو	ناقص	-	V	أَفْعَاكُمُ
102:2:2	زور	أجوف	-	V	فُرْتُمُ
102:6:1	راي	ناقص	1	V	تَفَوُنَّ
102:7:2	راي	ناقص	1	V	تَفَوُنَّهَع
103:3:6	وصي	لفيف	-	V	تَفَاعَوْا
103:3:7	حقق	مضاعف	-	N	فَعّ
103:3:8	وصي	لفيف	-	V	تَفَاعَوْا
104:1:2	كلل	مضاعف	-	N	فُعّ
104:2:3	مول	أجوف	-	N	فَالًا
104:2:4	عدد	مضاعف	-	V	فَعَّلَهُ
104:3:3	مول	أجوف	-	N	فَالَهُ
104:5:2	دري	ناقص	-	V	أَفْعَاكَ
104:6:1	نور	أجوف	-	N	فَار
104:7:4	فاد	صحيح سالم	1	N	أَفْئِدَة
104:8:3	وصد	مثال	-	N	مُؤْصَدَة
104:9:3	مدد	مضاعف	-	ADJ	فُمَعَّلَة
105:1:2	راي	ناقص	1	V	تَف
105:1:5	ربب	مضاعف	-	N	فَعُّكَ
105:2:5	ضلل	مضاعف	-	N	تَفْعِيل
106:2:3	شتو	ناقص	-	N	فِعَاء
106:3:2	ربب	مضاعف	-	N	فَعّ
107:2:3	دعع	مضاعف	-	V	يَفُعّ
107:3:2	حضض	مضاعف	-	V	يَفُعّ
107:4:2	صلو	ناقص	-	N	مُفَعِّين
107:5:4	صلو	ناقص	-	N	فَعَاتِهِمْ
107:6:3	راي	ناقص	1	V	يُفَعءُونَ
108:1:2	عطو	ناقص	-	V	أَفْعَيْنَاكَ
108:2:1	صلو	ناقص	-	V	فَعّ
108:2:2	ربب	مضاعف	-	N	فَعِّكَ
108:3:2	شنا	صحيح سالم	2	N	فَاعِئَكَ
109:1:1	قول	أجوف	-	V	فُل
10:100:2	كون	أجوف	-	V	فَان
10:100:5	امن	صحيح سالم	0	V	تُؤْمِن
10:101:1	قول	أجوف	-	V	فُل
10:101:14	امن	صحيح سالم	0	V	يُؤْمِنُونَ
10:101:9	ايي	لفيف	0	N	فعَات
10:102:10	قول	أجوف	-	V	فُل
10:102:5	يوم	لفيف	-	N	أَفَّام
10:103:10	امن	صحيح سالم	0	N	مُؤْمِنِين
10:103:2	نجو	ناقص	-	V	فُنَعِّي
10:103:7	حقق	مضاعف	-	N	فَعًّا
10:103:9	نجو	ناقص	-	V	فُنْع
10:104:1	قول	أجوف	-	V	فُل
10:104:21	وفي	لفيف	-	V	يَتَفَعَّاكُمْ
10:104:26	امن	صحيح سالم	0	N	مُؤْمِنِين
10:104:3	نوس	أجوف	-	N	فَاس
10:104:5	كون	أجوف	-	V	فُنْتُمْ
10:104:7	شكك	مضاعف	-	N	فَعّ
10:105:2	قوم	أجوف	-	V	أَفِم
10:106:10	ضرر	مضاعف	-	V	يَفُعُّكَ
10:106:2	دعو	ناقص	-	V	تَفْع
10:107:11	رود	أجوف	-	V	يُفِدْكَ
10:107:14	ردد	مضاعف	-	N	فَاعّ
10:107:16	صوب	أجوف	-	V	يُفِيب
10:107:19	شيا	أجوف	2	V	يَفَاء
10:107:2	مسس	مضاعف	-	V	يَفْعَلْكَ
10:107:4	ضرر	مضاعف	-	N	فُعّ
10:108:1	قول	أجوف	-	V	فُل
10:108:15	ضلل	مضاعف	-	V	فَعّ
10:108:17	ضلل	مضاعف	-	V	يَفِعّ
10:108:3	نوس	أجوف	-	N	فَاس
10:108:5	جيا	أجوف	2	V	فَاءَكُمُ
10:108:6	حقق	مضاعف	-	N	فَعّ
10:108:8	ربب	مضاعف	-	N	فَعِّكُمْ
10:10:12	اله	صحيح سالم	0	PN	لَّه
10:10:13	ربب	مضاعف	-	N	فَعّ
