letter,name_ar,name_translit,translit,makhraj_en,makhraj_ar,sifat,sifat_ar,abbas_meaning,abbas_meaning_ar,abbas_keywords,abbas_keywords_ar,ibn_jinni_note,ibn_jinni_note_ar,confidence
ء,الهمزة,hamza,ʾ,glottis (aqsa al-halq),أقصى الحلق,shadida; mahmusa/majhura (debated); mustafila; munfatiha,شديدة; مهموسة/مجهورة (مختلف فيها); مستفلة; منفتحة,"abrupt onset, sudden appearance, a sharp beginning or break",البدء المفاجئ والظهور الحادّ؛ ابتداءٌ أو قطعٌ حادّ,beginning; abruptness; emergence; cut,بدء; فجائية; ظهور; قطع,"A hard glottal stop: the air is blocked then released sharply, imitating a sudden start or interruption.",وقفة حنجرية شديدة: يُحبَس الهواء ثم يُطلَق فجأةً، فيحاكي البدء المفاجئ أو الانقطاع,summary
ب,الباء,ba',b,the two lips (shafatan),الشفتان,shadida; majhura; mustafila; munfatiha; qalqala,شديدة; مجهورة; مستفلة; منفتحة; قلقلة,"containment and saturation; adhesion, sticking, being full",الاحتواء والتشبّع؛ الالتصاق والامتلاء,containment; adhesion; fullness; moisture,احتواء; التصاق; امتلاء; رطوبة,"The lips seal and hold air/pressure, then burst — gesture of enclosing and then releasing what is contained.",تنطبق الشفتان فتحبسان الهواء ثم تنفرجان — إشارةٌ إلى احتواء ما بالداخل ثم إطلاقه,high
ت,التاء,ta',t,tip of tongue against upper front teeth roots,طرف اللسان وأصول الثنايا,shadida; mahmusa; mustafila; munfatiha,شديدة; مهموسة; مستفلة; منفتحة,"light completion / a soft, thin, delicate touch or finishing",إتمامٌ خفيف؛ لمسةٌ رقيقة ناعمة أو إنهاءٌ لطيف,completion; delicacy; lightness; tap,إتمام; رقة; خفة; نقر,"A light unvoiced stop — a small, clean terminal tap, hence a sense of gentle finishing.",وقفة مهموسة خفيفة — نقرةٌ ختامية صغيرة نظيفة، فمعنى الإنهاء اللطيف,summary
ث,الثاء,tha',ṯ,tip of tongue with edges of upper front teeth,طرف اللسان وأطراف الثنايا,rikhwa; mahmusa; mustafila; munfatiha,رخوة; مهموسة; مستفلة; منفتحة,"spreading and diffusion; scattering, dispersion (bathth, nathr)",الانتشار والتفشّي؛ البثّ والنثر,diffusion; scattering; spreading; propagation,انتشار; نثر; بثّ; تفشٍّ,"Continuous escape of breath between tongue and teeth — a spreading, leaking-out gesture.",خروجٌ مستمرّ للنَّفَس بين اللسان والأسنان — إشارةُ انتشارٍ وتسرّب,high
ج,الجيم,jim,j,middle of tongue against hard palate (wasat al-lisan),وسط اللسان مع وسط الحنك,shadida; majhura; mustafila; munfatiha; qalqala,شديدة; مجهورة; مستفلة; منفتحة; قلقلة,"gathering into a solid mass; bulk, body, corporeality (jism, jabal, jam')",التجمّع في كتلة صلبة؛ الجِرم والجسم (جسم، جبل، جمع),mass; body; gathering; solidity,كتلة; جسم; تجمّع; صلابة,"A compressed, plosive body of sound formed mid-mouth — evokes a compact, embodied lump.",صوتٌ انفجاريّ مضغوط يتكوّن وسط الفم — يوحي بكتلةٍ مندمجة متجسّدة,summary
ح,الحاء,ha',ḥ,middle of the throat (wasat al-halq),وسط الحلق,rikhwa; mahmusa; mustafila; munfatiha,رخوة; مهموسة; مستفلة; منفتحة,"heat and life; warmth, both physical and emotional (hararat al-mashaa'ir)",الحرارة والحياة؛ الدفء الحسّي والمعنوي (حرارة المشاعر),heat; life; warmth; emotion; vitality,حرارة; حياة; دفء; عاطفة; حيوية,"A warm, breathy pharyngeal friction — like the exhaled 'ahh' on touching something hot; carries heat and living warmth.",احتكاكٌ حلقيّ دافئ نَفَسيّ — كالزفير «أح» عند لمس الحارّ؛ يحمل الحرارة والدفء الحيّ,verified
خ,الخاء,kha',ḫ,nearest part of the throat to the mouth (adna al-halq),أدنى الحلق,rikhwa; mahmusa; musta'liya; munfatiha,رخوة; مهموسة; مستعلية; منفتحة,"foulness, coarseness and emptiness; disgust, repugnance, hollowness",القذارة والخشونة والخواء؛ الاشمئزاز والتقزّز والتجويف,foulness; disgust; coarseness; emptiness; decay,قذارة; اشمئزاز; خشونة; خواء; فساد,"A rough, scraping velar friction — the reflexive 'akhkh' of revulsion; evokes coarse, repugnant, hollow things.",احتكاكٌ حلقيّ خشن كاشط — «أخّ» الانعكاسية للتقزّز؛ يوحي بالأشياء الخشنة الكريهة الجوفاء,verified
د,الدال,dal,d,tip of tongue against upper front teeth roots,طرف اللسان وأصول الثنايا,shadida; majhura; mustafila; munfatiha; qalqala,شديدة; مجهورة; مستفلة; منفتحة; قلقلة,"hard, forceful striking or pushing; firmness, blunt impact (daqq, daf')",الطَّرق والدفع بقوّة؛ الصلابة والاصطدام الحادّ (دقّ، دفع),strike; push; firmness; impact,طرق; دفع; صلابة; اصطدام,"A voiced, forceful stop with qalqala — a firm knock, hence striking and pushing.",وقفة مجهورة قوية مع قلقلة — طرقةٌ حازمة، فمعنى الضرب والدفع,summary
ذ,الذال,dhal,ḏ,tip of tongue with edges of upper front teeth,طرف اللسان وأطراف الثنايا,rikhwa; majhura; mustafila; munfatiha,رخوة; مجهورة; مستفلة; منفتحة,"penetration and diffusion; going through / spreading out (nafadh, dhuyu')",النفاذ والذيوع؛ الاختراق والانتشار (نفاذ، ذيوع),penetration; diffusion; spreading; going-through,نفاذ; ذيوع; انتشار; اختراق,A voiced continuant leaking between tongue and teeth — a smooth passing-through and spreading.,مستمرٌّ مجهور يتسرّب بين اللسان والأسنان — نفاذٌ سلس وانتشار,summary
ر,الراء,ra',r,tip of tongue near the gum ridge (with slight backing),طرف اللسان مع ما يليه من اللثة,mutawassita (bayniyya); majhura; mustafila; munfatiha; takrir,متوسطة (بينية); مجهورة; مستفلة; منفتحة; تكرير,"repetition and motion; recurrence, vibration, going and returning",التكرار والحركة؛ المعاودة والاهتزاز والذهاب والإياب,repetition; motion; recurrence; vibration; flow,تكرار; حركة; معاودة; اهتزاز; جريان,"The only letter with takrir (a trilled repetition of the tongue) — its very articulation repeats, so it carries recurrence and movement.",الحرف الوحيد ذو التكرير (ترديد اللسان المرتعش) — نطقه نفسه يتكرّر، فيحمل المعاودة والحركة,high
