ref	word	relation	relation_ar	reason
1:7:7	عَلَيْهِمْ	Pass	نائب فاعل	prep-in-nominal-slot:نائب فاعل
1:7:8	وَلَا	emph	توكيد	tabi-non-nominal:NEG:توكيد
2:1:1	الٓمٓ	-	-	absent-from-treebank:INL
2:2:3	لَا	circ	حال	non-nominal-pos:NEG:حال
2:6:8	لَمْ	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:6:10	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
2:7:5	وَعَلَىٰ	conj	معطوف	tabi-non-nominal:P:معطوف
2:7:7	وَعَلَىٰٓ	Pred	خبر	prep-in-nominal-slot:خبر
2:8:9	وَمَا	root	root	non-nominal-pos:NEG:root
2:9:5	وَمَا	root	root	non-nominal-pos:NEG:root
2:9:7	إِلَّآ	res	حصر	non-nominal-pos:RES:حصر
2:9:9	وَمَا	root	root	non-nominal-pos:NEG:root
2:11:4	لَا	Pass	نائب فاعل	non-nominal-pos:PRO:نائب فاعل
2:12:1	أَلَآ	root	root	non-nominal-pos:INC:root
2:12:5	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
2:12:6	لَّا	amd	استدراك	non-nominal-pos:NEG:استدراك
2:13:5	كَمَآ	gen	مجرور	non-nominal-pos:SUB:مجرور
2:13:10	كَمَآ	gen	مجرور	non-nominal-pos:SUB:مجرور
2:13:13	أَلَآ	root	root	non-nominal-pos:INC:root
2:13:17	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
2:13:18	لَّا	amd	استدراك	non-nominal-pos:NEG:استدراك
2:16:6	فَمَا	root	root	non-nominal-pos:NEG:root
2:16:9	وَمَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
2:17:16	لَّا	circ	حال	non-nominal-pos:NEG:حال
2:18:5	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
2:20:14	وَلَوْ	root	root	non-nominal-pos:COND:root
2:22:18	فَلَا	root	root	non-nominal-pos:PRO:root
2:23:1	وَإِن	root	root	non-nominal-pos:COND:root
2:23:18	إِن	root	root	non-nominal-pos:COND:root
2:24:1	فَإِن	root	root	non-nominal-pos:COND:root
2:24:2	لَّمْ	cond	شرط	non-nominal-pos:NEG:شرط
2:24:4	وَلَن	root	root	non-nominal-pos:NEG:root
2:26:3	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
2:26:5	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
2:26:8	مَّا	sup	زائد	non-nominal-pos:SUP:زائد
2:26:12	فَأَمَّا	root	root	non-nominal-pos:EXL:root
2:26:13	ٱلَّذِينَ	exl	تفصيل	non-nominal-pos:COND:تفصيل
2:26:20	وَأَمَّا	root	root	non-nominal-pos:EXL:root
2:26:21	ٱلَّذِينَ	exl	تفصيل	non-nominal-pos:COND:تفصيل
2:26:24	مَاذَآ	Obj	مفعول به	non-nominal-pos:INTG:مفعول به
2:26:35	وَمَا	root	root	non-nominal-pos:NEG:root
2:26:38	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
2:27:13	أَن	App	بدل	tabi-non-nominal:SUB:بدل
2:28:1	كَيْفَ	circ	حال	non-nominal-pos:INTG:حال
2:30:27	لَا	sub	صلة	non-nominal-pos:NEG:صلة
2:31:13	إِن	root	root	non-nominal-pos:COND:root
2:32:3	لَا	root	root	non-nominal-pos:NEG:root
2:32:6	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
