ref	root	class	hamza	pos	wazn
102:6:1	راي	ناقص	1	V	تَفَلُنَّ
104:8:3	وصد	مثال	-	N	مُؤْصَدَة
10:24:5	موه	أجوف	-	N	فَعَء
10:29:7	كون	أجوف	-	V	فُنَّعَ
10:61:15	كون	أجوف	-	V	فُنَّعَ
10:81:6	جيا	أجوف	2	V	فِعْتُمْ
11:109:2	كون	أجوف	-	V	تَف
11:10:2	ذوق	أجوف	-	V	أَفَقْنَعَهُ
11:17:27	كون	أجوف	-	V	تَف
11:43:7	موه	أجوف	-	N	فَعَء
11:44:4	موه	أجوف	-	N	فَعَءَكِ
11:44:8	موه	أجوف	-	N	فَعَء
11:46:19	وعظ	مثال	-	V	أَعِظُكَ
11:49:19	وقي	لفيف	-	N	مُتَّقِين
11:72:3	ولد	مثال	-	V	أَأَلِد
11:78:17	وقي	لفيف	-	V	اتَّقُفا
11:7:12	موه	أجوف	-	N	فَعَء
12:109:27	وقي	لفيف	-	V	اتَّقَفْا
12:17:17	كون	أجوف	-	V	فُنَّعَ
12:31:8	وكا	مثال	2	N	مُتَّكَأ
12:45:5	ذكر	صحيح سالم	-	V	ادَّكَر
12:73:11	كون	أجوف	-	V	فُنَّعَ
12:81:15	كون	أجوف	-	V	فُنَّعَ
12:82:4	كون	أجوف	-	V	فُنَّعَ
12:91:8	كون	أجوف	-	V	فُنَّعَ
12:94:7	وجد	مثال	-	V	أَجِد
12:97:7	كون	أجوف	-	V	فُنَّعَ
13:14:16	موه	أجوف	-	N	فَعَء
13:17:4	موه	أجوف	-	N	فَعَء
13:25:7	وثق	مثال	-	N	مِيثَاقِهِ
13:35:16	وقي	لفيف	-	V	اتَّقَفْا
13:35:5	وقي	لفيف	-	N	مُتَّقُفن
13:4:14	موه	أجوف	-	N	فَعَء
13:5:6	كون	أجوف	-	V	فُنَّعَ
14:16:6	موه	أجوف	-	N	فَعَء
14:19:10	شيا	أجوف	2	V	يَفَع
14:21:9	كون	أجوف	-	V	فُنَّعَ
14:32:9	موه	أجوف	-	N	فَعَء
15:22:7	موه	أجوف	-	N	فَعَء
15:45:2	وقي	لفيف	-	N	مُتَّقِين
15:69:1	وقي	لفيف	-	V	اتَّقُفا
16:10:6	موه	أجوف	-	N	فَعَء
16:120:9	كون	أجوف	-	V	يَف
16:127:10	كون	أجوف	-	V	تَف
16:128:5	وقي	لفيف	-	V	اتَّقَفْا
16:28:9	كون	أجوف	-	V	فُنَّعَ
16:2:18	وقي	لفيف	-	V	اتَّقُفنِ
16:30:20	وقي	لفيف	-	N	مُتَّقِين
16:30:3	وقي	لفيف	-	V	اتَّقَفْا
16:31:15	وقي	لفيف	-	N	مُتَّقِين
16:40:5	رود	أجوف	-	V	أَفَدْنَعَهُ
16:65:5	موه	أجوف	-	N	فَعَء
16:86:11	كون	أجوف	-	V	فُنَّعَ
16:88:7	زيد	أجوف	-	V	فِدْنَعَهُمْ
17:15:17	كون	أجوف	-	V	فُنَّعَ
17:49:3	كون	أجوف	-	V	فُنَّعَ
17:54:5	شيا	أجوف	2	V	يَفَع
17:54:9	شيا	أجوف	2	V	يَفَع
17:55:10	نبا	صحيح سالم	2	N	فَعِيِّين
17:75:2	ذوق	أجوف	-	V	أَفَقْنَعَكَ
17:7:6	سوا	أجوف	2	V	أَفَعْتُمْ
17:97:26	زيد	أجوف	-	V	فِدْنَعَهُمْ
17:98:8	كون	أجوف	-	V	فُنَّعَ
18:13:10	زيد	أجوف	-	V	فِدْنَعَهُمْ
18:29:21	موه	أجوف	-	N	فَعَء
18:31:21	وكا	مثال	2	N	مُتَّكِئِين
18:36:9	وجد	مثال	-	V	أَجِدَنَّ
18:45:6	موه	أجوف	-	N	فَعَء
18:51:11	اخذ	صحيح سالم	0	N	مُتَّخِذ
18:64:4	كون	أجوف	-	V	فُنَّعَ
18:71:13	جيا	أجوف	2	V	فِعْتَ
18:74:14	جيا	أجوف	2	V	فِعْتَ
18:77:21	شيا	أجوف	2	V	فِعْتَ
19:13:6	وقي	لفيف	-	N	تَعِيًّل
19:18:8	وقي	لفيف	-	N	تَعِيًّل
19:19:6	وهب	مثال	-	V	أَهَب
19:20:10	كون	أجوف	-	V	أَف
19:27:8	جيا	أجوف	2	V	فِعْتِ
19:58:7	نبا	صحيح سالم	2	N	فَعِيِّين
19:63:9	وقي	لفيف	-	N	تَعِيًّل
19:67:9	كون	أجوف	-	V	يَف
19:72:4	وقي	لفيف	-	V	اتَّقَفْا
19:85:3	وقي	لفيف	-	N	مُتَّقِين
19:89:2	جيا	أجوف	2	V	فِعْتُمْ
19:97:6	وقي	لفيف	-	N	مُتَّقِين
19:9:13	كون	أجوف	-	V	تَف
20:10:15	وجد	مثال	-	V	أَجِد
20:132:12	وقي	لفيف	-	N	تَّقْفَى
20:40:31	جيا	أجوف	2	V	فِعْتَ
20:53:13	موه	أجوف	-	N	فَعَء
20:97:20	ظلل	مضاعف	-	V	فَعْتَ
21:104:15	كون	أجوف	-	V	فُنَّعَ
21:104:4	طوي	لفيف	-	N	فَعّ
21:14:4	كون	أجوف	-	V	فُنَّعَ
21:17:10	كون	أجوف	-	V	فُنَّعَ
21:30:13	موه	أجوف	-	N	فَعَء
21:46:10	كون	أجوف	-	V	فُنَّعَ
21:48:8	وقي	لفيف	-	N	مُتَّقِين
21:51:7	كون	أجوف	-	V	فُنَّعَ
21:78:12	كون	أجوف	-	V	فُنَّعَ
21:79:13	كون	أجوف	-	V	فُنَّعَ
21:81:11	كون	أجوف	-	V	فُنَّعَ
21:82:10	كون	أجوف	-	V	فُنَّعَ
21:97:12	كون	أجوف	-	V	فُنَّعَ
21:97:18	كون	أجوف	-	V	فُنَّعَ
22:1:3	وقي	لفيف	-	V	اتَّقُفا
22:32:8	وقي	لفيف	-	N	تَقْفَى
22:37:9	وقي	لفيف	-	N	تَقْفَى
22:52:8	نبا	صحيح سالم	2	N	فَعِيّ
22:5:62	موه	أجوف	-	N	فَعَء
22:63:8	موه	أجوف	-	N	فَعَء
23:106:6	كون	أجوف	-	V	فُنَّعَ
23:17:7	كون	أجوف	-	V	فُنَّعَ
23:18:4	موه	أجوف	-	N	فَعَء
23:30:6	كون	أجوف	-	V	فُنَّعَ
23:35:1	وعد	مثال	-	V	أَيَعِدُكُمْ
23:52:8	وقي	لفيف	-	V	اتَّقُفنِ
23:82:4	كون	أجوف	-	V	فُنَّعَ
24:34:13	وقي	لفيف	-	N	مُتَّقِين
24:39:8	موه	أجوف	-	N	فَعَء
24:45:6	موه	أجوف	-	N	فَعَء
24:62:31	شيا	أجوف	2	V	فِعْتَ
25:15:9	وقي	لفيف	-	N	مُتَّقُفن
25:31:4	نبا	صحيح سالم	2	N	فَعِيّ
25:48:12	موه	أجوف	-	N	فَعَء
25:54:5	موه	أجوف	-	N	فَعَء
25:74:12	وقي	لفيف	-	N	مُتَّقِين
26:108:1	وقي	لفيف	-	V	اتَّقُفا
26:110:1	وقي	لفيف	-	V	اتَّقُفا
26:126:1	وقي	لفيف	-	V	اتَّقُفا
26:131:1	وقي	لفيف	-	V	اتَّقُفا
26:132:1	وقي	لفيف	-	V	اتَّقُفا
26:144:1	وقي	لفيف	-	V	اتَّقُفا
26:150:1	وقي	لفيف	-	V	اتَّقُفا
26:163:1	وقي	لفيف	-	V	اتَّقُفا
26:179:1	وقي	لفيف	-	V	اتَّقُفا
26:184:1	وقي	لفيف	-	V	اتَّقُفا
26:209:3	كون	أجوف	-	V	فُنَّعَ
26:24:9	يقن	مثال	-	N	مُوقِنِفن
26:30:3	جيا	أجوف	2	V	فِعْتُكَ
26:41:10	كون	أجوف	-	V	فُنَّعَ
26:4:2	شيا	أجوف	2	V	نَفَع
26:51:9	كون	أجوف	-	V	فُنَّعَ
26:90:3	وقي	لفيف	-	N	مُتَّقِين
26:97:3	كون	أجوف	-	V	فُنَّعَ
27:22:10	جيا	أجوف	2	V	فِعْتُكَ
27:42:13	كون	أجوف	-	V	فُنَّعَ
27:60:9	موه	أجوف	-	N	فَعَء
27:67:5	كون	أجوف	-	V	فُنَّعَ
28:23:3	موه	أجوف	-	N	فَعَء
28:45:17	كون	أجوف	-	V	فُنَّعَ
28:53:12	كون	أجوف	-	V	فُنَّعَ
28:58:15	كون	أجوف	-	V	فُنَّعَ
28:59:15	كون	أجوف	-	V	فُنَّعَ
28:83:14	وقي	لفيف	-	N	مُتَّقِين
29:10:23	كون	أجوف	-	V	فُنَّعَ
29:16:7	وقي	لفيف	-	V	اتَّقُفهُ
29:27:8	نبا	صحيح سالم	2	N	فُعُوَّة
29:63:7	موه	أجوف	-	N	فَعَء
2:103:4	وقي	لفيف	-	V	اتَّقَفْا
2:123:1	وقي	لفيف	-	V	اتَّقُفا
2:136:21	نبا	صحيح سالم	2	N	فَعِيُّون
2:164:23	موه	أجوف	-	N	فَعَء
2:177:18	نبا	صحيح سالم	2	N	فَعِيِّين
2:177:51	وقي	لفيف	-	N	مُتَّقُفن
2:180:16	وقي	لفيف	-	N	مُتَّقِين
2:189:19	وقي	لفيف	-	V	اتَّقَى
2:189:24	وقي	لفيف	-	V	اتَّقُفا
2:194:16	وقي	لفيف	-	V	اتَّقُفا
2:194:22	وقي	لفيف	-	N	مُتَّقِين
2:196:67	وقي	لفيف	-	V	اتَّقُفا
2:197:26	وقي	لفيف	-	N	تَقْفَى
2:197:27	وقي	لفيف	-	V	اتَّقُفنِ
2:203:19	وقي	لفيف	-	V	اتَّقَى
2:203:20	وقي	لفيف	-	V	اتَّقُفا
2:206:4	وقي	لفيف	-	V	اتَّق
2:211:1	سال	صحيح سالم	1	V	فَل
2:212:11	وقي	لفيف	-	V	اتَّقَفْا
2:213:7	نبا	صحيح سالم	2	N	فَعِيِّين
2:223:10	وقي	لفيف	-	V	اتَّقُفا
2:223:7	شيا	أجوف	2	V	فِعْتُمْ
2:22:11	موه	أجوف	-	N	فَعَء
2:231:38	وقي	لفيف	-	V	اتَّقُفا
2:233:57	وقي	لفيف	-	V	اتَّقُفا
2:237:26	وقي	لفيف	-	N	تَّقْفَى
2:241:6	وقي	لفيف	-	N	مُتَّقِين
2:246:13	نبا	صحيح سالم	2	N	فَعِيّ
2:247:3	نبا	صحيح سالم	2	N	فَعِيُّهُمْ
2:248:3	نبا	صحيح سالم	2	N	فَعِيُّهُمْ
2:24:6	وقي	لفيف	-	V	اتَّقُفا
2:256:9	غوي	لفيف	-	N	فَعّ
2:278:4	وقي	لفيف	-	V	اتَّقُفا
2:27:7	وثق	مثال	-	N	مِيثَاقِهِ
2:281:1	وقي	لفيف	-	V	اتَّقُفا
2:282:121	وقي	لفيف	-	V	اتَّقُفا
2:2:7	وقي	لفيف	-	N	مُتَّقِين
2:41:18	وقي	لفيف	-	V	اتَّقُفنِ
2:48:1	وقي	لفيف	-	V	اتَّقُفا
2:58:9	شيا	أجوف	2	V	فِعْتُمْ
2:61:52	نبا	صحيح سالم	2	N	فَعِيِّين
2:63:3	وثق	مثال	-	N	مِيثَاقَكُمْ
2:66:9	وقي	لفيف	-	N	مُتَّقِين
2:71:19	جيا	أجوف	2	V	فِعْتَ
2:74:25	موه	أجوف	-	N	فَعَء
2:84:3	وثق	مثال	-	N	مِيثَاقَكُمْ
2:93:3	وثق	مثال	-	N	مِيثَاقَكُمْ
30:24:10	موه	أجوف	-	N	فَعَء
30:31:3	وقي	لفيف	-	V	اتَّقُفهُ
30:58:11	جيا	أجوف	2	V	فِعْتَهُمْ
31:10:21	موه	أجوف	-	N	فَعَء
31:16:4	كون	أجوف	-	V	تَف
31:33:3	وقي	لفيف	-	V	اتَّقُفا
32:12:16	يقن	مثال	-	N	مُوقِنُون
32:27:5	موه	أجوف	-	N	فَعَء
32:8:7	موه	أجوف	-	N	فَعَء
33:13:14	نبا	صحيح سالم	2	N	فَعِيّ
33:1:2	نبا	صحيح سالم	2	N	فَعِيّ
33:1:3	وقي	لفيف	-	V	اتَّق
33:28:2	نبا	صحيح سالم	2	N	فَعِيّ
33:30:2	نبا	صحيح سالم	2	N	فَعِيّ
33:32:2	نبا	صحيح سالم	2	N	فَعِيّ
33:32:8	وقي	لفيف	-	V	اتَّقَيْتُنَّ
33:33:1	قرر	مضاعف	-	V	فَعْنَ
33:37:12	وقي	لفيف	-	V	اتَّق
33:38:4	نبا	صحيح سالم	2	N	فَعِيّ
33:40:12	نبا	صحيح سالم	2	N	فَعِيِّين
33:45:2	نبا	صحيح سالم	2	N	فَعِيّ
33:50:2	نبا	صحيح سالم	2	N	فَعِيّ
33:50:33	نبا	صحيح سالم	2	N	فَّعِيّ
33:50:36	نبا	صحيح سالم	2	N	فَعِيّ
33:53:31	نبا	صحيح سالم	2	N	فَعِيّ
33:53:7	نبا	صحيح سالم	2	N	فَعِيّ
33:55:22	وقي	لفيف	-	V	اتَّقِينَ
33:56:6	نبا	صحيح سالم	2	N	فَعِيّ
33:59:2	نبا	صحيح سالم	2	N	فَعِيّ
33:6:1	نبا	صحيح سالم	2	N	فَعِيّ
33:70:4	وقي	لفيف	-	V	اتَّقُفا
33:7:16	وثق	مثال	-	N	مِيثَاقًا
33:7:4	نبا	صحيح سالم	2	N	فَعِيِّين
33:7:5	وثق	مثال	-	N	مِيثَاقَهُمْ
34:10:10	لين	أجوف	-	V	أَفَنَّعَ
34:31:31	كون	أجوف	-	V	فُنَّعَ
34:46:3	وعظ	مثال	-	V	أَعِظُكُمْ
34:9:13	شيا	أجوف	2	V	نَفَع
35:16:2	شيا	أجوف	2	V	يَفَع
35:27:8	موه	أجوف	-	N	فَعَء
35:37:10	كون	أجوف	-	V	فُنَّعَ
35:9:7	سوق	أجوف	-	V	فُقْنَعَهُ
36:28:12	كون	أجوف	-	V	فُنَّعَ
36:43:2	شيا	أجوف	2	V	نَفَع
36:45:4	وقي	لفيف	-	V	اتَّقُفا
36:56:7	وكا	مثال	2	N	مُتَّكِئُفن
37:169:1	كون	أجوف	-	V	فُنَّعَ
37:16:3	كون	أجوف	-	V	فُنَّعَ
37:32:3	كون	أجوف	-	V	فُنَّعَ
37:53:3	كون	أجوف	-	V	فُنَّعَ
38:28:12	وقي	لفيف	-	N	مُتَّقِين
38:49:4	وقي	لفيف	-	N	مُتَّقِين
38:51:1	وكا	مثال	2	N	مُتَّكِئِين
38:62:7	كون	أجوف	-	V	فُنَّعَ
39:10:5	وقي	لفيف	-	V	اتَّقُفا
39:15:3	شيا	أجوف	2	V	فِعْتُمْ
39:16:16	وقي	لفيف	-	V	اتَّقُفنِ
39:20:3	وقي	لفيف	-	V	اتَّقَفْا
39:21:8	موه	أجوف	-	N	فَعَء
39:33:8	وقي	لفيف	-	N	مُتَّقُفن
39:57:9	وقي	لفيف	-	N	مُتَّقِين
39:61:4	وقي	لفيف	-	V	اتَّقَفْا
39:69:8	نبا	صحيح سالم	2	N	فَعِيِّين
39:73:3	وقي	لفيف	-	V	اتَّقَفْا
3:102:4	وقي	لفيف	-	V	اتَّقُفا
3:102:7	وقي	لفيف	-	N	تُعَلَتِهِ
3:115:9	وقي	لفيف	-	N	مُتَّقِين
3:120:4	سوا	أجوف	2	V	تَفُعْهُمْ
3:123:7	وقي	لفيف	-	V	اتَّقُفا
3:130:9	وقي	لفيف	-	V	اتَّقُفا
3:131:1	وقي	لفيف	-	V	اتَّقُفا
3:133:11	وقي	لفيف	-	N	مُتَّقِين
3:138:6	وقي	لفيف	-	N	مُتَّقِين
3:146:3	نبا	صحيح سالم	2	N	فَعِيّ
3:15:7	وقي	لفيف	-	V	اتَّقَفْا
3:161:3	نبا	صحيح سالم	2	N	فَعِيّ
3:172:13	وقي	لفيف	-	V	اتَّقَفْا
3:198:3	وقي	لفيف	-	V	اتَّقَفْا
3:200:7	وقي	لفيف	-	V	اتَّقُفا
3:21:7	نبا	صحيح سالم	2	N	فَعِيِّين
3:28:21	وقي	لفيف	-	N	تُعَلَة
3:49:35	ذخر	صحيح سالم	-	V	تَدَّخِرُونَ
3:49:7	جيا	أجوف	2	V	فِعْتُكُمْ
3:50:13	جيا	أجوف	2	V	فِعْتُكُمْ
3:50:17	وقي	لفيف	-	V	اتَّقُفا
3:68:8	نبا	صحيح سالم	2	N	فَعِيّ
3:76:5	وقي	لفيف	-	V	اتَّقَى
3:76:9	وقي	لفيف	-	N	مُتَّقِين
3:79:9	نبا	صحيح سالم	2	N	فُعُوَّة
3:80:6	نبا	صحيح سالم	2	N	فَعِيِّين
3:81:5	نبا	صحيح سالم	2	N	فَعِيِّين
3:84:19	نبا	صحيح سالم	2	N	فَعِيُّون
40:11:3	موت	أجوف	-	V	أَفَتَّنَعَ
40:28:21	كون	أجوف	-	V	يَف
40:28:26	كون	أجوف	-	V	يَف
40:47:10	كون	أجوف	-	V	فُنَّعَ
40:50:3	كون	أجوف	-	V	تَف
40:84:10	كون	أجوف	-	V	فُنَّعَ
40:85:2	كون	أجوف	-	V	يَف
41:39:10	موه	أجوف	-	N	فَعَء
41:40:22	شيا	أجوف	2	V	فِعْتُمْ
41:50:2	ذوق	أجوف	-	V	أَفَقْنَعَهُ
42:24:8	شيا	أجوف	2	V	يَفَع
42:33:2	شيا	أجوف	2	V	يَفَع
43:11:5	موه	أجوف	-	N	فَعَء
43:13:18	كون	أجوف	-	V	فُنَّعَ
43:24:3	جيا	أجوف	2	V	فِعْتُكُمْ
43:35:12	وقي	لفيف	-	N	مُتَّقِين
43:63:15	وقي	لفيف	-	V	اتَّقُفا
43:63:7	جيا	أجوف	2	V	فِعْتُكُمْ
43:67:7	وقي	لفيف	-	N	مُتَّقِين
43:6:4	نبا	صحيح سالم	2	N	فَعِيّ
43:7:4	نبا	صحيح سالم	2	N	فَعِيّ
44:32:2	خير	أجوف	-	V	افْتَرْنَعَهُمْ
44:3:7	كون	أجوف	-	V	فُنَّعَ
44:40:4	وقت	مثال	-	N	مِيقَاتُهُمْ
44:51:2	وقي	لفيف	-	N	مُتَّقِين
44:5:5	كون	أجوف	-	V	فُنَّعَ
44:7:8	يقن	مثال	-	N	مُوقِنِفن
45:16:7	نبا	صحيح سالم	2	N	فُعُوَّة
45:19:15	وقي	لفيف	-	N	مُتَّقِين
45:29:7	كون	أجوف	-	V	فُنَّعَ
46:17:6	وعد	مثال	-	V	أَتَعِدَانِنِي
47:15:41	موه	أجوف	-	N	فَعَء
47:15:5	وقي	لفيف	-	N	مُتَّقُفن
47:15:9	موه	أجوف	-	N	فَعَء
47:17:6	وقي	لفيف	-	N	تَقْفَاهُمْ
48:26:19	وقي	لفيف	-	N	تَقْفَى
49:10:7	وقي	لفيف	-	V	اتَّقُفا
49:12:26	وقي	لفيف	-	V	اتَّقُفا
49:13:16	وقي	لفيف	-	N	أَتْقَاكُمْ
49:1:10	وقي	لفيف	-	V	اتَّقُفا
49:2:9	نبا	صحيح سالم	2	N	فَعِيّ
49:3:13	وقي	لفيف	-	N	تَّقْفَى
4:131:17	وقي	لفيف	-	V	اتَّقُفا
4:133:2	شيا	أجوف	2	V	يَفَع
4:154:18	وثق	مثال	-	N	مِيثَاقًا
4:154:4	وثق	مثال	-	N	مِيثَاقِهِمْ
4:155:3	وثق	مثال	-	N	مِيثَاقَهُمْ
4:163:8	نبا	صحيح سالم	2	N	فَعِيِّين
4:1:18	وقي	لفيف	-	V	اتَّقُفا
4:1:3	وقي	لفيف	-	V	اتَّقُفا
4:21:10	وثق	مثال	-	N	مِيثَاقًا
4:25:33	اخذ	صحيح سالم	0	N	مُتَّخِذَفت
4:40:8	كون	أجوف	-	V	تَف
4:43:37	موه	أجوف	-	N	فَعَء
4:69:12	نبا	صحيح سالم	2	N	فَعِيِّين
4:77:45	وقي	لفيف	-	V	اتَّقَى
4:97:11	كون	أجوف	-	V	فُنَّعَ
50:31:3	وقي	لفيف	-	N	مُتَّقِين
50:3:3	كون	أجوف	-	V	فُنَّعَ
50:9:4	موه	أجوف	-	N	فَعَء
51:15:2	وقي	لفيف	-	N	مُتَّقِين
51:20:4	يقن	مثال	-	N	مُوقِنِفن
52:17:2	وقي	لفيف	-	N	مُتَّقِين
52:20:1	وكا	مثال	2	N	مُتَّكِئِين
52:26:3	كون	أجوف	-	V	فُنَّعَ
52:28:2	كون	أجوف	-	V	فُنَّعَ
52:37:7	سطر	صحيح سالم	-	N	مُصَيْطِرُون
53:32:31	وقي	لفيف	-	V	اتَّقَى
54:11:4	موه	أجوف	-	N	فَعَء
54:12:5	موه	أجوف	-	N	فَعَء
54:15:6	ذكر	صحيح سالم	-	N	مُدَّكِر
54:17:7	ذكر	صحيح سالم	-	N	مُدَّكِر
54:22:7	ذكر	صحيح سالم	-	N	مُدَّكِر
54:28:3	موه	أجوف	-	N	فَعَء
54:32:7	ذكر	صحيح سالم	-	N	مُدَّكِر
54:40:7	ذكر	صحيح سالم	-	N	مُدَّكِر
54:51:6	ذكر	صحيح سالم	-	N	مُدَّكِر
54:54:2	وقي	لفيف	-	N	مُتَّقِين
55:54:1	وكا	مثال	2	N	مُتَّكِئِين
55:76:1	وكا	مثال	2	N	مُتَّكِئِين
56:16:1	وكا	مثال	2	N	مُتَّكِئِين
56:31:1	موه	أجوف	-	N	فَعَء
56:47:5	كون	أجوف	-	V	فُنَّعَ
56:65:5	ظلل	مضاعف	-	V	فَعْتُمْ
56:68:2	موه	أجوف	-	N	فَعَء
57:26:8	نبا	صحيح سالم	2	N	فُعُوَّة
57:28:4	وقي	لفيف	-	V	اتَّقُفا
57:8:12	وثق	مثال	-	N	مِيثَاقَكُمْ
58:9:14	وقي	لفيف	-	N	تَقْفَى
58:9:15	وقي	لفيف	-	V	اتَّقُفا
59:18:11	وقي	لفيف	-	V	اتَّقُفا
59:18:4	وقي	لفيف	-	V	اتَّقُفا
59:7:32	وقي	لفيف	-	V	اتَّقُفا
5:100:10	وقي	لفيف	-	V	اتَّقُفا
5:101:11	سوا	أجوف	2	V	تَفُعْكُمْ
5:108:15	وقي	لفيف	-	V	اتَّقُفا
5:110:53	جيا	أجوف	2	V	فِعْتَهُمْ
5:112:17	وقي	لفيف	-	V	اتَّقُفا
5:11:18	وقي	لفيف	-	V	اتَّقُفا
5:13:3	وثق	مثال	-	N	مِيثَاقَهُمْ
5:14:7	وثق	مثال	-	N	مِيثَاقَهُمْ
5:27:24	وقي	لفيف	-	N	مُتَّقِين
