root_normalized,root_raw,asl_text,asl_preamble,asl_count,asl_status,source,edition,confidence
اب,أب,المرعى ||| القصد والتهيؤ,اعلم أن للهمزة والباء في المضاعف أصلين,2,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابت,أبت,الهمزة والباء والتاء أصل واحد، وهو الحر وشدته,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابث,أبث,,,0,no_asl,maqayis_openiti,Harun_DarAlFikr,high
ابد,أبد,الهمزة والباء والدال يدل بناؤها على طول المدة، وعلى التوحش,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابر,أبر,الهمزة والباء والراء يدل بناؤها على نخس الشيء بشيء محدد,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابز,أبز,الهمزة والباء والزاء يدل على القلق والسرعة وقلة الاستقرار,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابس,أبس,الهمزة والباء والسين تدل على القهر، يقال منه أبس الرجل الرجل: إذا قهره,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابش,أبش,الهمزة والباء والشين ليس بأصل، لأن الهمزة فيه مبدلة من هاء,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابض,أبض,الهمزة والباء والضاد تدل على الدهر، وعلى شيء من أرفاغ البطن,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابط,أبط,الهمزة والباء والطاء أصل واحد، وهو إبط الإنسان أو استعارة في غيره,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابق,أبق,الهمزة والباء والقاف يدل على إباق العبد، والتشدد في الأمر,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابك,أبك,الهمزة والباء والكاف أصل واحد، وهو السمن، يقال: أبك الرجل: إذا سمن,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابل,أبل,الهمزة والباء واللام بناء على أصول ثلاثة: [على] الإبل، وعلى الاجتزاء، وعلى الثقل، و [على] الغلبة,,3,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابن,أبن,الهمزة والباء والنون يدل على الذكر، وعلى العقد، وقفو الشيء,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابه,أبه,الهمزة والباء والهاء يدل على النباهة والسمو,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابو,أبو,الهمزة والباء والواو يدل على التربية والغذو,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
ابي,أبي,الهمزة والباء والياء يدل على الامتناع,,1,has_asl,maqayis_openiti,Harun_DarAlFikr,high
